heuristica,n,m,replicacao,tempo,iteracoes,valor,parametro
blnm_monotona_randomizada,30,20,6,0.0918,2438,113,0.6
blnm_monotona_randomizada,30,20,6,0.0320,1077,117,0.7
blnm_monotona_randomizada,30,20,6,0.0330,1619,131,0.8
blnm_monotona_randomizada,30,20,6,0.0202,1988,143,0.9
blnm_monotona_randomizada,30,20,7,0.0787,1012,95,0.1
blnm_monotona_randomizada,30,20,7,0.0784,1055,95,0.2
blnm_monotona_randomizada,30,20,7,0.0660,1034,95,0.3
blnm_monotona_randomizada,30,20,7,0.0603,1080,95,0.4
blnm_monotona_randomizada,30,20,7,0.0491,1104,95,0.5
blnm_monotona_randomizada,30,20,7,0.0369,1020,95,0.6
blnm_monotona_randomizada,30,20,7,0.0356,1318,95,0.7
blnm_monotona_randomizada,30,20,7,0.0519,2658,95,0.8
blnm_monotona_randomizada,30,20,7,0.0098,1053,108,0.9
blnm_monotona_randomizada,30,20,8,0.0843,1062,100,0.1
blnm_monotona_randomizada,30,20,8,0.0901,1247,100,0.2
blnm_monotona_randomizada,30,20,8,0.0693,1131,100,0.3
blnm_monotona_randomizada,30,20,8,0.0526,1005,100,0.4
blnm_monotona_randomizada,30,20,8,0.0525,1116,100,0.5
blnm_monotona_randomizada,30,20,8,0.0432,1129,100,0.6
blnm_monotona_randomizada,30,20,8,0.0397,1421,100,0.7
blnm_monotona_randomizada,30,20,8,0.0240,1335,106,0.8
blnm_monotona_randomizada,30,20,8,0.0146,1374,115,0.9
blnm_monotona_randomizada,30,20,9,0.0876,1104,97,0.1
blnm_monotona_randomizada,30,20,9,0.0734,1030,97,0.2
blnm_monotona_randomizada,30,20,9,0.0654,1024,97,0.3
blnm_monotona_randomizada,30,20,9,0.0577,1022,97,0.4
blnm_monotona_randomizada,30,20,9,0.0475,1067,97,0.5
blnm_monotona_randomizada,30,20,9,0.0383,1059,97,0.6
blnm_monotona_randomizada,30,20,9,0.0429,1501,98,0.7
blnm_monotona_randomizada,30,20,9,0.0255,1354,107,0.8
blnm_monotona_randomizada,30,20,9,0.0181,2038,119,0.9
blnm_monotona_randomizada,30,20,10,0.0800,1006,99,0.1
blnm_monotona_randomizada,30,20,10,0.0775,1071,99,0.2
